Date,Time,Topic,Presenters,PresentersWebsites,PaperAuthors,PaperTitles,PaperConferences,PaperLinks,Slides,Location,Category,Semester,Past,
11/10/17,1:00-2:00pm,,Charlie Welch,http://web.eecs.umich.edu/~cfwelch/,"Sharma, Shikhar, Layla El Asri, Hannes Schulz, and Jeremie Zumer",Relevance of Unsupervised Metrics in Task-Oriented Dialogue for Evaluating Natural Language Generation,,https://arxiv.org/pdf/1706.09799.pdf,,BBB 2725,LIT,Fall 2017,TRUE,
11/17/17,1:00-2:00pm,,Tafiq Ammari,http://www-personal.umich.edu/~tawfiqam/,"Fast, Ethan, Binbin Chen, Michael S. Bernstein",Empath: Understanding Topic Signals in Large-Scale Text,CHI 2016,https://arxiv.org/pdf/1602.06979.pdf,,BBB 2725,LIT,Fall 2017,TRUE,
11/24/17,,,,,NO READING GROUP THIS WEEK,,,,,,LIT,Fall 2017,TRUE,
12/1/17,1:00-2:00pm,,Paul Bara,,"Anderson, Peter et al",Vision-and-Language Navigation: Interpreting visually-grounded navigation instructions in real environments,,https://arxiv.org/pdf/1711.07280.pdf,,BBB 2725,LIT,Fall 2017,TRUE,
12/8/17,1:00-2:00pm,,Shibamouli Lahiri,http://web.eecs.umich.edu/~lahiri/,"Moritz, Maria, Andreas Wiederhold, Barbara Pavlek, Yuri Bizzoni, and Marco Buchler",Non-Literal Text Reuse in Historical Texts,EMNLP 2016,https://aclweb.org/anthology/D/D16/D16-1190.pdf,,BBB 2725,LIT,Fall 2017,TRUE,
6/8/17,2:00-3:00pm,,Laura Wendlandt,http://wendlandt.github.io/,"Søgaard, Anders, Anders Johannsen, Barbara Plank, Dirk Hovy, and Hector Martinez",What’s in a <em>p</em>-value in NLP?,CoNLL 2014,http://cst.dk/bplank/papers/pval-conll2014.pdf,,BBB 3941,LIT,Summer 2017,TRUE,
6/15/17,2:00-3:00pm,,Mohini Tellakat,,"Parish-Morris, Julia et al",Exploring Autism Spectrum Disorders Using HLT,NAACL Workshop on Computational Linguistics and Clinical Psychology 2016,http://aclweb.org/anthology/W/W16/W16-0308.pdf,,BBB 3941,LIT,Summer 2017,TRUE,
6/22/17,2:00-3:00pm,,Steve Wilson,http://lit.eecs.umich.edu/~steverw,"Ling, Wang, Dani Yogatama, Chris Dyer, and Phil Blunsom",Program Induction by Rationale Generation: Learning to Solve and Explain Algebraic Word Problems,ACL 2017,https://arxiv.org/pdf/1705.04146.pdf,,BBB 3941,LIT,Summer 2017,TRUE,
6/29/17,2:00-3:00pm,,Charlie Welch,http://web.eecs.umich.edu/~cfwelch,"Lowe, Ryan et al",Towards an Automatic Turing Test: Learning to Evaluate Dialogue Responses,ICLR 2017,https://openreview.net/pdf?id=HJ5PIaseg,,BBB 3941,LIT,Summer 2017,TRUE,
7/6/17,2:00-3:00pm,,Jonathan Kummerfeld,http://www.jkk.name/,"Lewis, Mike, Denis Yarats, Yann N. Dauphin, Devi Parikh, and Dhruv Batra",Deal or No Deal? End-to-End Learning for Negotiation Dialogues,EMNLP 2017,https://arxiv.org/pdf/1706.05125.pdf,,BBB 3941,LIT,Summer 2017,TRUE,
7/13/17,2:00-3:00pm,,Ben King,,"Chiticariu, Laura, Yuntao Li, and Frederick R. Reiss",Rule-based Information Extraction is Dead! Long Live Rule-based Information Extraction Systems!,EMNLP 2013,https://aclweb.org/anthology/D/D13/D13-1079.pdf,,BBB 3941,LIT,Summer 2017,TRUE,
7/20/17,2:00-3:00pm,,Quincy Davenport,,"Bouchard, Guillaume, Pontus Stenetorp, and Sebastian Reidel",Learning to Generate Textual Data,EMNLP 2016,https://aclweb.org/anthology/D16-1167,,BBB 3941,LIT,Summer 2017,TRUE,
7/27/17,2:00-3:00pm,,Steve Wilson,http://lit.eecs.umich.edu/~steverw,"Paul, Michael J",Feature Selection as Causal Inference: Experiments with Text Classification,CoNLL 2017,http://cmci.colorado.edu/~mpaul/files/conll17_propensity.pdf,,<b>BBB 4901</b>,LIT,Summer 2017,TRUE,
8/3/17,2:00-3:00pm,,Mahmoud Azab,http://web.eecs.umich.edu/~mazab/,"Conneau, Alexis, Douwe Kiela, Holger Schwenk, Loïc Barrault, and Antoine Bordes",Supervised Learning of Universal Sentence Representations from Natural Language Inference Data,EMNLP 2017,https://arxiv.org/pdf/1705.02364.pdf,,BBB 3941,LIT,Summer 2017,TRUE,
8/10/17,2:00-3:00pm,,Yaoyiran Li,,"Paulus, Romain, Caiming Xiong, and Richard Socher",A Deep Reinforced Model for Abstractive Summarization,arXiv,https://arxiv.org/pdf/1705.04304.pdf,,BBB 3941,LIT,Summer 2017,TRUE,
8/17/17,,,,,NO READING GROUP THIS WEEK,,,,,,LIT,Summer 2017,TRUE,
8/24/17,2:00-3:00pm,,Emre Kazan,,"Katinskaia, Anisia, Javad Nouri, and Roman Yangarber",Revita: a System for Language Learning and Supporting Endangered Languages,Joint Workshop on NLP for Computer Assisted Language Learning,http://aclweb.org/anthology/W17-0304,,BBB 3941,LIT,Summer 2017,TRUE,
1/18/17,3:00-4:00pm,,Shibamouli Lahiri,http://web.eecs.umich.edu/~lahiri/,"Althoff, Tim, Kevin Clark, and Jure Leskovec",Large-scale Analysis of Counseling Conversations: An Application of Natural Language Processing to Mental Health,TACL 2016,https://www.transacl.org/ojs/index.php/tacl/article/view/802,files/Althoff_Clark_Leskovec_TACL_2016.pdf,BBB 2725,LIT,Winter 2017,TRUE,
2/8/17,3:00-4:00pm,,Dan Pressel,,"Bordes, Antoine, Y-Lan Boureau, and Jason Weston",Learning End-to-End Goal-Oriented Dialog,ICLR 2017,https://arxiv.org/pdf/1605.07683.pdf,https://rawgit.com/dpressel/Meetups/master/nlp-reading-group-2017-02-08/presentation.html#%281%29,BBB 3901,LIT,Winter 2017,TRUE,
2/22/17,3:00-4:00pm,,Laura Wendlandt,http://wendlandt.github.io/,"Levy, Omer, Yoav Goldberg, and Ido Dagan",Improving Distributional Similarity with Lessons Learned from Word Embeddings,TACL 2015,http://www.aclweb.org/anthology/Q15-1016,,BBB 3901,LIT,Winter 2017,TRUE,
3/15/17,3:00-4:00pm,,Steve Wilson,http://lit.eecs.umich.edu/~steverw,"Reimers, Nils, Philip Beyer, and Iryna Gurevych",Task-Oriented Intrinsic Evaluation of Semantic Textual Similarity,COLING 2016,https://www.aclweb.org/anthology/C/C16/C16-1009.pdf,,BBB 3901,LIT,Winter 2017,TRUE,
3/29/17,3:00-4:00pm,,Charlie Welch,http://web.eecs.umich.edu/~cfwelch,"Flanigan, Jeffrey, Chris Dyer, Noah A. Smith, and Jaime Carbonell",CMU at SemEval-2016 Task 8: Graph-based AMR Parsing with Infinite Ramp Loss,SemEval 2016,https://www.aclweb.org/anthology/S/S16/S16-1186.pdf,,BBB 3901,LIT,Winter 2017,TRUE,
9/21/16,1:30-2:30pm,,Shibamouli Lahiri,http://web.eecs.umich.edu/~lahiri/,"Volkova, Svitlana and Yoram Bachrach",Inferring Perceived Demographics from User Emotional Tone and User-Environmental Emotional Contrast,ACL 2016,http://aclweb.org/anthology/P/P16/P16-1148.pdf,,DOW 1010,LIT,Fall 2016,TRUE,
